id	cul	Gender	Age	Region	REL	NAT_1	NAT_2	NAT_3	NAT_4	LNG_1	LNG_2	EDU	RHAB	FNL1	FNL2	AN	AC	RATE_WITCH	MR	SBS	AM	IRI_EC	IRI_PT	EXP
1	EN1	EN	0	40	South	Islam	Usa	Florida	Management	USA	Yes	Basic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	1	NA	NA	1.375	2.81818181818182	0	5.15384615384615	-2.16666666666667	2.6	4.14285714285714	3.28571428571429	2.33333333333333
2	EN10	EN	0	30	Northeast	No	USA	USA	Banking	NY	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	0	NA	NA	3.75	5.09090909090909	1	4.15384615384615	-1	2.53333333333333	4.85714285714286	4	5
3	EN100	EN	0	42	West	Christian	United States	United States	Information technology	California	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	NA	NA	2.625	5.72727272727273	1	5	1.83333333333333	3.4	6.85714285714286	5.71428571428571	1.66666666666667
4	EN1000	EN	0	26	Midwest	Non	USA	USA	Training 	California 	Yes	Native	Graduate University / Professional School (Master's Degree, Doctoral Degree)	4	NA	NA	2.25	3.72727272727273	0	5.38461538461539	-0.833333333333333	6.26666666666667	4.71428571428571	3.85714285714286	2.66666666666667
5	EN1001	EN	1	43	South	none	United States	United States	information technology 	Georgia	Yes		University / College / Undergraduate School (Bachelor Degree)	0	NA	NA	3.75	3.45454545454545	1	6.38461538461539	-1.33333333333333	5.53333333333333	5	5.14285714285714	4
6	EN1002	EN	1	51	Midwest	none	United States	United States	Substitute teacher	Ohio	Yes		University / College / Undergraduate School (Bachelor Degree)	0	NA	NA	3.25	2	1	4.07692307692308	-1	2.4	6	5	2
7	EN1003	EN	0	36	South	Christian 	United states of America 	United states of America 	School bus driver 	South Carolina 	Yes		Vocational School / Technical College / Communication College (Associate Degree)	0	NA	NA	3	3.63636363636364	0	4.46153846153846	4	7.73333333333333	6.28571428571429	4.71428571428571	1.66666666666667
8	EN1004	EN	1	55	West	Baptist	united states	united states	customer service	Nevada	Yes		Vocational School / Technical College / Communication College (Associate Degree)	0	NA	NA	3.125	4	1	3.69230769230769	3.33333333333333	7	4.85714285714286	5.71428571428571	7
9	EN1005	EN	1	24	Northeast	Christian 	United States of America	United States of America	Student	Pennsylvania 	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	5	NA	NA	3	3.54545454545455	0	5.76923076923077	2.5	4.93333333333333	5.42857142857143	4	1.66666666666667
10	EN1006	EN	1	50	Northeast	Methodist	USA	USA	Homemaker 	New Hampshire 	Yes		Vocational School / Technical College / Communication College (Associate Degree)	10	NA	NA	2.25	3.63636363636364	1	5.23076923076923	3.83333333333333	3.86666666666667	6.57142857142857	5.14285714285714	2.33333333333333
11	EN1007	EN	1	27	Northeast	Christian	Usa	Usa	Homemaker	Virginia	Yes		Vocational School / Technical College / Communication College (Associate Degree)	10	NA	NA	4.75	3.54545454545455	1	5.38461538461539	4	2.73333333333333	6	3.71428571428571	1.66666666666667
12	EN1008	EN	1	35	West	Colorado 	United States 	United States 	Dancer 	Colorado 	No	Conversational	Graduate University / Professional School (Master's Degree, Doctoral Degree)	9	NA	NA	4.125	5.36363636363636	1	2.38461538461538	1.5	7.53333333333333	3.71428571428571	4.71428571428571	5.33333333333333
13	EN1009	EN	0	52	South	Born again Christian	USA	USA	Care giver to elderly parent	Noth Carolina	Yes		Other	10	NA	NA	2.625	5.72727272727273	1	3.92307692307692	4	1.6	6.85714285714286	6.42857142857143	1
14	EN101	EN	1	35	Northeast	Christian	United States of America	United States of America	Information technology	New York	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	10	NA	NA	5	5.90909090909091	1	7	4	9.33333333333333	7	6.14285714285714	5.66666666666667
15	EN1010	EN	1	20	Midwest	None	Usa	Usa	Retail	Mi	Yes		Vocational School / Technical College / Communication College (Associate Degree)	0	NA	NA	4.5	3.72727272727273	1	6.15384615384615	2.66666666666667	2.8	6	5.28571428571429	1
16	EN1011	EN	1	21	South	christian	usa	usa	paramedic	fl	Yes		University / College / Undergraduate School (Bachelor Degree)	0	NA	NA	3.75	4.45454545454545	1	6.76923076923077	3.66666666666667	5	4.85714285714286	3.85714285714286	1
17	EN1012	EN	0	31	South	Buddhist	USA	USA	sales	NORTH CAROLINA	Yes		Vocational School / Technical College / Communication College (Associate Degree)	10	NA	NA	1	3	0	1.38461538461538	-1.5	3.33333333333333	7	7	4
18	EN1013	EN	0	39	West	Christianity	United States of America	United States	Software engineer	California	Yes		Graduate University / Professional School (Master's Degree, Doctoral Degree)	2	NA	NA	3.75	4.27272727272727	0	5.53846153846154	2.33333333333333	4.86666666666667	6.71428571428571	6.71428571428571	3.33333333333333
