Gender	Age	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	EDU	EXP1	EXP2	EXP3	RHAB
Male	40	1	1	2	2	1	1	2	1	4	1	1	2	1	4	3	1	1	2	5	B	3	4	3	2	1	4	3	2	3	3	3	3	3	1	-3	-4	-4	-2	-1	0	3	3	3	2	2	2	1	0	5	5	5	3	3	2	4	2	2	3	4	3	3	4	4	3	3	3	2	2	Islam	Graduate University / Professional School (Master's Degree, Doctoral Degree)	2	2	3	1
Male	45	3	3	2	5	4	4	5	2	7	7	2	5	7	5	7	4	4	3	6	A	4	5	6	5	5	3	4	2	3	2	2	2	1	4	3	4	4	3	3	8	8	6	1	5	8	1	4	4	10	9	10	9	7	10	7	3	2	7	7	6	2	2	2	7	6	7	6	6	Christianity	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	2	1	5
Male	35	4	4	4	4	4	3	3	3	5	5	5	5	5	4	4	4	4	6	5	A	5	4	4	6	4	4	5	4	5	6	5	4	5	0	2	4	0	0	0	5	6	4	6	6	7	4	3	4	4	5	3	5	5	6	4	6	5	5	4	4	4	4	5	4	4	5	5	4	Islam	Graduate University / Professional School (Master's Degree, Doctoral Degree)	2	6	4	1
Female	36	5	5	5	5	4	4	4	4	6	7	6	6	6	6	6	6	6	4	6	A	6	6	6	6	5	5	5	4	4	5	6	6	6	3	3	4	3	3	3	9	8	8	8	8	8	6	8	8	7	8	8	8	7	8	6	6	5	6	6	6	5	6	6	4	5	5	5	4	Protestant	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	3	1	10
Female	53	3	3	2	4	2	4	4	4	6	3	2	3	3	6	3	3	4	2	2	B	4	4	4	3	4	3	3	3	4	3	2	3	4	2	2	3	3	3	3	0	6	5	0	3	5	1	5	4	6	6	5	5	4	5	6	4	5	4	5	5	2	4	3	5	4	6	4	5	Agnostic	University / College / Undergraduate School (Bachelor Degree)	4	1	1	0
Female	55	3	5	4	5	3	3	4	2	6	5	4	4	5	7	2	5	4	4	2	A	2	3	4	4	4	4	4	2	2	2	2	4	4	-4	-3	0	-3	0	2	4	8	0	0	0	8	0	5	1	8	0	7	3	0	7	6	4	5	6	7	6	2	4	2	5	5	6	5	6	None	University / College / Undergraduate School (Bachelor Degree)	3	2	1	1
Female	30	3	3	2	5	1	4	4	4	7	7	6	7	7	6	1	6	1	2	6	A	4	6	7	6	6	6	2	1	2	2	1	1	1	4	4	3	4	4	4	10	10	0	0	5	5	0	0	8	7	0	6	0	0	6	7	5	6	7	7	7	6	7	5	5	7	6	6	6	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	4	4	1	10
Male	35	4	3	5	4	5	3	4	4	5	6	6	5	7	5	4	6	7	5	5	A	5	5	5	5	6	3	5	6	5	6	6	5	6	2	3	3	2	2	3	8	9	6	8	7	8	8	6	9	4	8	8	7	9	8	6	5	5	6	6	6	3	6	6	4	6	6	5	4	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	1	1	2
Male	42	4	4	5	3	4	4	4	4	6	5	6	5	3	3	6	6	5	6	4	A	5	3	4	6	5	6	5	4	6	4	4	4	4	3	3	2	3	4	3	2	2	2	3	4	2	6	3	4	3	3	2	2	2	3	3	4	3	3	5	4	3	3	3	3	2	2	3	3	Christianity 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	5	5	6	4
Male	30	4	4	2	5	2	5	4	4	6	6	5	6	7	5	5	6	6	6	4	A	4	5	4	5	5	3	1	1	5	3	5	4	5	3	0	1	-4	-3	-3	6	5	4	0	0	3	0	0	0	7	0	6	0	0	7	5	2	1	4	4	4	3	4	4	5	2	4	5	3	No	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	4	5	0
Male	33	5	5	5	5	5	5	4	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	Christain	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	8	8	10
Male	40	1	1	1	3	3	3	1	1	6	4	2	4	4	4	1	4	7	4	1	B	1	4	1	4	4	1	1	1	1	1	1	4	4	-4	-4	-4	-4	0	-4	0	10	0	0	0	3	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	Science.  Especially not overlapping definitions. 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	5	1	0
Male	35	5	5	4	5	5	5	5	5	7	7	6	7	7	6	7	5	7	6	7	A	7	7	6	2	1	1	1	1	1	1	1	4	1	4	4	3	4	3	4	10	9	8	9	10	9	10	10	9	10	9	10	8	10	5	7	6	7	6	7	7	6	7	6	7	7	7	6	7	Pentecostal church 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	8	7	9
Female	30	5	1	3	5	5	5	1	3	7	7	4	4	4	4	4	4	4	4	4	A	7	1	1	1	1	3	1	1	1	1	1	1	1	4	4	4	4	4	4	5	8	5	5	0	0	0	0	0	5	5	5	0	0	0	5	7	1	4	1	1	1	1	1	7	1	7	7	7	Jehovah witness 	Other	8	1	1	0
Male	36	2	3	4	4	5	2	4	3	5	6	5	7	6	4	5	6	4	6	5	A	4	6	2	6	2	4	5	1	4	2	5	4	5	-4	4	3	3	3	4	10	8	7	9	1	8	6	8	8	6	7	8	4	9	9	6	5	2	4	6	5	4	6	2	6	4	5	4	6	Christianity 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	6	2	10
Male	35	5	5	5	5	5	3	5	5	7	7	7	7	6	7	7	7	2	7	7	A	4	2	3	2	4	1	1	1	1	1	1	1	1	4	4	4	4	4	4	10	9	1	0	5	3	0	2	4	4	4	3	2	4	4	7	3	2	7	7	7	1	5	1	6	7	6	7	7	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	7	4	10
Female	30	4	2	5	3	5	2	4	5	3	6	7	3	2	6	7	2	6	6	4	A	6	3	6	2	6	2	7	5	2	6	5	6	3	2	4	0	3	1	3	8	10	4	5	5	9	8	4	6	9	3	9	2	7	9	6	3	2	7	3	7	4	4	5	4	4	7	3	6	NewYork	University / College / Undergraduate School (Bachelor Degree)	7	8	5	7
Female	58	3	3	3	3	3	2	3	2	3	4	3	3	4	6	3	2	2	2	2	A	6	2	2	3	3	1	1	1	2	1	1	2	2	4	2	3	3	3	4	2	5	2	0	2	3	0	6	0	7	7	1	3	2	2	5	5	4	4	4	4	4	3	3	3	4	4	5	5	Presbyterian	University / College / Undergraduate School (Bachelor Degree)	6	2	1	5
Male	35	1	1	1	5	2	3	5	4	7	1	4	1	1	7	1	3	1	4	1	A	1	1	4	4	7	1	1	1	7	4	1	1	1	-4	-4	0	0	0	4	7	10	0	0	0	3	0	0	0	10	0	10	0	0	10	6	1	1	7	7	7	2	1	1	7	7	4	5	7	None	University / College / Undergraduate School (Bachelor Degree)	6	5	1	0
Male	35	5	4	4	5	4	4	5	4	6	5	6	6	7	6	5	6	6	6	5	B	6	5	6	6	7	6	6	7	5	6	6	7	6	3	2	3	4	3	3	8	8	9	8	9	8	7	8	9	8	9	8	9	8	9	6	5	2	5	5	5	6	5	6	6	5	5	3	6	Roman Catholic 	University / College / Undergraduate School (Bachelor Degree)	6	6	6	9
Female	25	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	B	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	None 	Junior High School / Middle School	8	1	1	0
Female	39	5	3	1	4	3	4	4	2	7	6	1	7	6	7	7	6	6	6	1	A	1	1	3	1	2	1	1	1	1	1	1	3	2	4	0	0	2	0	4	8	5	0	0	0	5	0	5	0	8	0	8	5	0	8	6	3	2	5	6	5	3	3	1	6	7	6	5	6	Christian 	University / College / Undergraduate School (Bachelor Degree)	2	1	1	5
Male	22	3	3	1	4	2	3	3	4	7	7	7	7	6	4	6	7	1	7	5	A	6	7	7	7	7	7	7	5	6	5	1	4	5	4	4	4	4	4	4	0	6	0	0	0	6	0	0	0	6	0	6	0	0	6	6	1	2	7	7	7	2	7	1	6	7	6	7	7	Christianity	Other	8	6	1	10
Male	35	5	5	4	4	4	4	4	5	6	5	5	5	5	7	7	5	7	5	7	A	7	4	7	2	5	2	2	5	2	3	3	2	4	4	4	4	4	4	4	10	10	10	10	6	6	0	3	1	6	1	1	1	2	3	5	7	1	2	2	2	2	1	3	2	7	6	3	4	Christianity	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	6	1	8
Male	37	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	9	10	9	9	9	10	7	7	7	6	6	6	7	7	7	7	6	7	7	6	Muslim	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	8	4	5
Female	30	5	5	5	5	5	5	5	5	3	7	7	4	5	6	4	5	5	7	5	A	7	7	7	7	7	5	1	1	7	1	2	4	4	4	4	4	4	4	4	10	10	10	10	10	10	10	9	5	7	5	3	3	5	8	7	7	7	7	7	7	7	7	7	7	7	7	6	6	Catholic	University / College / Undergraduate School (Bachelor Degree)	7	4	4	2
Male	35	4	4	4	4	4	3	5	4	5	7	6	5	7	7	5	7	6	7	4	A	6	5	4	5	4	5	3	6	4	4	4	4	3	4	4	4	4	4	4	5	6	8	3	10	10	4	6	9	5	5	9	6	8	10	6	5	6	3	5	5	6	5	6	7	4	7	7	6	Christianity	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	8	7	9
Female	35	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	8	8	7
